experiment,model,origin_date,information_cutoff,target_quarter,g_hat_saar,status,error,foundation_features
expanded_41_monthly_slots,mixed_freq_dfm_md,2026-09-06T00:00:00,2026-09-05,2026Q3,2.2232540392633378,ok,,
expanded_41_monthly_slots,lstm_univariate,2026-09-06T00:00:00,2026-09-05,2026Q3,1.4971680633395876,ok,,
expanded_41_monthly_slots,lstm_multivariate,2026-09-06T00:00:00,2026-09-05,2026Q3,2.32813063770549,ok,,
expanded_41_monthly_slots,ensemble_avg_top3,2026-09-06T00:00:00,2026-09-05,2026Q3,2.0679788148134928,ok,,
expanded_41_monthly_slots,ensemble_weighted_top5,2026-09-06T00:00:00,2026-09-05,2026Q3,1.860943284297622,ok,,
expanded_41_monthly_slots,chronos2,2026-09-06T00:00:00,2026-09-05,2026Q3,4.065581946005165,ok,,
expanded_41_monthly_slots,chronos2_covariates,2026-09-06T00:00:00,2026-09-05,2026Q3,2.471739848536621,ok,,monthly_slots
expanded_41_monthly_slots,tabpfn_bridge,2026-09-06T00:00:00,2026-09-05,2026Q3,2.027130242309957,ok,,monthly_slots
expanded_41_monthly_slots,tabpfn_ts,2026-09-06T00:00:00,2026-09-05,2026Q3,-0.4218792644094662,ok,,
expanded_41_monthly_slots,timesfm3,2026-09-06T00:00:00,2026-09-05,2026Q3,2.1649515212136228,ok,,
