model,horizon,release_stage,n,n_requested,rmse,mae,baseline_rmse,rel_rmse
factor_pca_qd,1,second,4,4,0.5602729319542578,0.4833165849970685,2.369792760043261,0.2364227545129431
factor_pca_qd,1,third,4,4,0.5815023083686134,0.489632736753835,2.386953104867843,0.24361698065317
last_growth,1,first,4,4,0.736676606424087,0.5487579513638697,2.3612709528664175,0.3119830892468369
last_growth,1,second,4,4,0.7090050421920849,0.5271489564415532,2.369792760043261,0.2991844072386911
last_growth,1,third,4,4,0.7376448883052211,0.5473661999787904,2.386953104867843,0.3090319984925141
local_trend_ssm,1,first,4,4,0.5302741529936126,0.4724337598394911,2.3612709528664175,0.22457149712103
local_trend_ssm,1,second,4,4,0.4835030542078313,0.3958557063952334,2.369792760043261,0.2040275683005314
local_trend_ssm,1,third,4,4,0.5047907186096359,0.4146365613577371,2.386953104867843,0.2114791101593863
lstm_multivariate,1,first,4,4,0.4707771849872295,0.4061929574975853,2.3612709528664175,0.1993744870387445
lstm_multivariate,1,second,4,4,0.5534193436186858,0.4827710109418431,2.369792760043261,0.233530692197989
lstm_multivariate,1,third,4,4,0.5296331566197295,0.4639901559793394,2.386953104867843,0.2218867038232213
lstm_univariate,1,first,4,4,0.4630348268535434,0.3817685048736093,2.3612709528664175,0.1960955926262725
lstm_univariate,1,second,4,4,0.3960742786053152,0.3051904514293515,2.369792760043261,0.1671345635295488
lstm_univariate,1,third,4,4,0.4251946321617194,0.3239713063918552,2.386953104867843,0.1781327966999422
mean,1,first,4,4,46.03107865103912,46.028371958354896,2.3612709528664175,19.494195952040418
mean,1,second,4,4,46.05575809250465,46.05250116019126,2.369792760043261,19.4345087338624
mean,1,third,4,4,46.06766204212107,46.0644169498587,2.386953104867843,19.299776752284235
mean_growth,1,first,4,4,0.7382185669038341,0.5266028243279122,2.3612709528664175,0.3126361106537513
mean_growth,1,second,4,4,0.7049257139847113,0.5507320261642787,2.369792760043261,0.2974630211849591
mean_growth,1,third,4,4,0.7326203714963105,0.5626478158317185,2.386953104867843,0.3069270066522204
mixed_freq_dfm_md,1,first,4,4,0.9657900991812532,0.746423286913513,2.3612709528664175,0.4090128233732988
mixed_freq_dfm_md,1,second,4,4,0.9549908177396752,0.7791139091958071,2.369792760043261,0.4029849503474058
mixed_freq_dfm_md,1,third,4,4,0.9833682191331282,0.8034944020689841,2.386953104867843,0.4119763463838866
naive_last,1,first,4,4,2.3612709528664175,2.3070650812126243,2.3612709528664175,1.0
naive_last,1,second,4,4,2.369792760043261,2.3311942830489913,2.369792760043261,1.0
naive_last,1,third,4,4,2.386953104867843,2.343110072716431,2.386953104867843,1.0
random_forest,1,first,4,4,0.5001992089680349,0.4236646878209792,2.3612709528664175,0.2118347360182566
random_forest,1,second,4,4,0.4318298257804303,0.3462056269033068,2.369792760043261,0.1822226116399086
random_forest,1,third,4,4,0.4663763826523554,0.3682464890948141,2.386953104867843,0.1953856494713904
random_normal,1,first,4,4,2.0336822670469337,1.7980392469026754,2.3612709528664175,0.8612659485681581
random_normal,1,second,4,4,2.059220842810679,1.822168448739042,2.369792760043261,0.868945537150298
random_normal,1,third,4,4,2.076671495442618,1.834084238406482,2.386953104867843,0.870009340027481
random_permutation,1,first,4,4,3.287764985896094,2.074705122052948,2.3612709528664175,1.392370910210443
random_permutation,1,second,4,4,3.2673094421684064,1.9895656481627628,2.369792760043261,1.3787321394756733
random_permutation,1,third,4,4,3.2585659835076823,1.995881799919529,2.386953104867843,1.3651571021074156
random_uniform,1,first,4,4,7.596048621861694,6.900891952223756,2.3612709528664175,3.216932225689993
random_uniform,1,second,4,4,7.534959267049804,6.8234328913060835,2.369792760043261,3.179585740194536
random_uniform,1,third,4,4,7.553518057080418,6.845473753497592,2.386953104867843,3.1645020765913325
seasonal_naive,1,first,4,4,9.959507660921604,9.824886574993249,2.3612709528664175,4.217858881815939
seasonal_naive,1,second,4,4,9.967069023926564,9.849015776829615,2.369792760043261,4.205882131121294
seasonal_naive,1,third,4,4,9.98243069855377,9.860931566497054,2.386953104867843,4.182080778292652
theta,1,first,4,4,3.164090139600326,3.0092663715010284,2.3612709528664175,1.3399945210689783
