model_name,task_name,horizon,period,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
bvar_minnesota_8,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,25.631015781660903,19.421968159327225,25.631015781660903,19.421968159327225
bvar_minnesota_growth_8,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,25.63116854755679,19.404386858088593,25.63116854755679,19.404386858088593
bvar_minnesota_8,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,25.632963161543778,19.404339446720805,25.632963161543778,19.404339446720805
theta,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,25.632992507415693,18.549944514233935,25.632992507415693,18.549944514233935
bvar_minnesota_growth_8,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,25.639375801869488,19.386105868242826,25.639375801869488,19.386105868242826
theta,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,25.63986812001722,18.57724170686393,25.63986812001722,18.57724170686393
bvar_minnesota_8,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,25.641196955923792,19.386076885243448,25.641196955923792,19.386076885243448
theta,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,25.68826379146592,18.621182338156466,25.68826379146592,18.621182338156466
random_uniform,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,25.804877469979118,21.42616194166198,25.804877469979118,21.42616194166198
chronos2,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,25.9489545061573,18.98523840904236,25.9489545061573,18.98523840904236
chronos2,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,25.976045444099807,18.89771976470947,25.976045444099807,18.89771976470947
chronos2,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,25.976485312786934,18.920102763175965,25.976485312786934,18.920102763175965
bvar_minnesota_growth_20,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,26.555013362166022,19.94883590954901,26.555013362166022,19.94883590954901
bvar_minnesota_20,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,26.557595194573395,19.94907184665478,26.557595194573395,19.94907184665478
bvar_minnesota_growth_20,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,26.557706891278677,19.930672651229834,26.557706891278677,19.930672651229834
bvar_minnesota_20,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,26.560285781940596,19.930904188818598,26.560285781940596,19.930904188818598
bvar_minnesota_growth_20,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,26.56190891244784,19.913824868295134,26.56190891244784,19.913824868295134
bvar_minnesota_20,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,26.564530509223665,19.914079984673585,26.564530509223665,19.914079984673585
random_uniform,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,26.92720273170784,23.3030142218092,26.92720273170784,23.3030142218092
factor_pca_qd,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,31.339415732681985,23.468023985218004,31.339415732681985,23.468023985218004
factor_pca_qd,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,31.34362346084071,23.482493212282392,31.34362346084071,23.482493212282392
factor_pca_qd,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,31.39590572335372,23.630063665527523,31.39590572335372,23.630063665527523
random_uniform,gdp_saar_third_h1,1,covid_2020Q1_2021Q1,5.0,32.083826602195295,29.296887713588227,32.083826602195295,29.296887713588227
naive_last,gdp_saar_second_h1,1,covid_2020Q1_2021Q1,5.0,34.06228874454561,25.896981382369994,34.06228874454561,25.896981382369994
naive_last,gdp_saar_first_h1,1,covid_2020Q1_2021Q1,5.0,34.06503431067037,25.971011066436766,34.06503431067037,25.971011066436766
