task_name,model_name,num_windows,prep_time_s,inference_time_s,avg_time_per_window
gdp_saar_third_h1,theta,40,7.217738663894124,0.7780159161193296,0.01945039790298324
gdp_saar_first_h1,seasonal_naive,40,6.985573330312036,0.6183462118497118,0.015458655296242796
gdp_saar_first_h1,ar4,40,6.985573330312036,0.6165049121482298,0.015412622803705745
gdp_saar_third_h1,ar4,40,7.217738663894124,0.5606670817360282,0.014016677043400705
gdp_saar_second_h1,ar4,40,7.176958333700895,0.5477504211012274,0.013693760527530685
gdp_saar_first_h1,random_normal,40,6.985573330312036,0.5210708738304675,0.013026771845761686
gdp_saar_second_h1,naive_last,40,7.176958333700895,0.5183255826123059,0.012958139565307647
gdp_saar_second_h1,drift,40,7.176958333700895,0.5181562919169664,0.012953907297924162
gdp_saar_third_h1,random_uniform,40,7.217738663894124,0.5178060795878991,0.012945151989697479
gdp_saar_second_h1,random_normal,40,7.176958333700895,0.5161532897036523,0.012903832242591307
gdp_saar_second_h1,random_uniform,40,7.176958333700895,0.5140670031541958,0.012851675078854896
gdp_saar_third_h1,mean,40,7.217738663894124,0.5120369979413226,0.012800924948533066
gdp_saar_first_h1,drift,40,6.985573330312036,0.5119797104271129,0.012799492760677822
gdp_saar_second_h1,mean,40,7.176958333700895,0.5119529177900404,0.01279882294475101
gdp_saar_third_h1,random_normal,40,7.217738663894124,0.5118972075870261,0.012797430189675652
gdp_saar_first_h1,naive_last,40,6.985573330312036,0.5110921656014398,0.012777304140035995
gdp_saar_third_h1,seasonal_naive,40,7.217738663894124,0.5109390008728951,0.012773475021822378
gdp_saar_third_h1,drift,40,7.217738663894124,0.5106117912800983,0.012765294782002456
gdp_saar_second_h1,random_permutation,40,7.176958333700895,0.5087894594762474,0.012719736486906186
gdp_saar_first_h1,random_uniform,40,6.985573330312036,0.5085942933801562,0.012714857334503903
gdp_saar_third_h1,random_permutation,40,7.217738663894124,0.5071223359555006,0.012678058398887516
gdp_saar_first_h1,random_permutation,40,6.985573330312036,0.5067427102476358,0.012668567756190897
gdp_saar_first_h1,mean,40,6.985573330312036,0.5061047544004396,0.012652618860010989
gdp_saar_second_h1,seasonal_naive,40,7.176958333700895,0.5056431256234646,0.012641078140586615
gdp_saar_third_h1,naive_last,40,7.217738663894124,0.5051051679765806,0.012627629199414514
gdp_saar_third_h1,ensemble_avg_top3,40,7.217738663894124,0.062251957366243005,0.0015562989341560752
gdp_saar_second_h1,ensemble_avg_top3,40,7.176958333700895,0.049343416816554964,0.001233585420413874
gdp_saar_first_h1,ensemble_avg_top3,40,6.985573330312036,0.04845866176765412,0.001211466544191353
