model_name,task_name,horizon,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
bvar_minnesota_8,gdp_saar_third_h1,1,40.0,9.193325409240096,3.525924284072393,9.193325409240096,3.525924284072393
bvar_minnesota_growth_8,gdp_saar_second_h1,1,40.0,9.194451123164175,3.5314584293117166,9.194451123164175,3.5314584293117166
bvar_minnesota_8,gdp_saar_second_h1,1,40.0,9.195072639814155,3.531465302890291,9.195072639814155,3.531465302890291
bvar_minnesota_growth_8,gdp_saar_first_h1,1,40.0,9.197085268463445,3.525605751835696,9.197085268463445,3.525605751835696
bvar_minnesota_8,gdp_saar_first_h1,1,40.0,9.197714250959933,3.525609060138801,9.197714250959933,3.525609060138801
xgboost,gdp_saar_first_h1,1,40.0,9.259665535656769,3.52602085955441,9.259665535656769,3.52602085955441
xgboost,gdp_saar_third_h1,1,40.0,9.3692343362955,3.4375687625724822,9.3692343362955,3.4375687625724822
xgboost,gdp_saar_second_h1,1,40.0,9.45760634939144,3.4636849995702503,9.45760634939144,3.4636849995702503
bvar_minnesota_growth_20,gdp_saar_third_h1,1,40.0,9.519653615939925,3.619545521280604,9.519653615939925,3.619545521280604
bvar_minnesota_20,gdp_saar_third_h1,1,40.0,9.52053984385093,3.6195744835850667,9.52053984385093,3.6195744835850667
bvar_minnesota_growth_20,gdp_saar_second_h1,1,40.0,9.52153302717859,3.6249568262131766,9.52153302717859,3.6249568262131766
bvar_minnesota_20,gdp_saar_second_h1,1,40.0,9.522418297021757,3.6249874897156347,9.522418297021757,3.6249874897156347
bvar_minnesota_growth_20,gdp_saar_first_h1,1,40.0,9.523488858547012,3.618516096315949,9.523488858547012,3.618516096315949
bvar_minnesota_20,gdp_saar_first_h1,1,40.0,9.524386184227575,3.618506487455535,9.524386184227575,3.618506487455535
factor_pca_qd,gdp_saar_third_h1,1,40.0,11.356652058495191,4.380060745057679,11.356652058495191,4.380060745057679
factor_pca_qd,gdp_saar_second_h1,1,40.0,11.35674440541611,4.385134296640042,11.35674440541611,4.385134296640042
factor_pca_qd,gdp_saar_first_h1,1,40.0,11.379271276395517,4.46696869783859,11.379271276395517,4.46696869783859
naive_last,gdp_saar_first_h1,1,40.0,12.23979967479379,4.631960125267506,12.23979967479379,4.631960125267506
naive_last,gdp_saar_third_h1,1,40.0,12.241618962035915,4.607337802648544,12.241618962035915,4.607337802648544
naive_last,gdp_saar_second_h1,1,40.0,12.241839360548797,4.6203477561473845,12.241839360548797,4.6203477561473845
mean,gdp_saar_third_h2,2,80.0,7.591245006844318,3.0766464978858408,7.591245006844318,3.0766464978858408
mean,gdp_saar_second_h2,2,80.0,7.593852853426566,3.0860587720318766,7.593852853426566,3.0860587720318766
mean,gdp_saar_first_h2,2,80.0,7.594968561303171,3.0935545399600577,7.594968561303171,3.0935545399600577
random_forest,gdp_saar_third_h2,2,80.0,7.917176476233697,3.397664727046757,7.917176476233697,3.397664727046757
random_forest,gdp_saar_second_h2,2,80.0,7.932588461635787,3.4154558770143404,7.932588461635787,3.4154558770143404
random_forest,gdp_saar_first_h2,2,80.0,7.950452828515361,3.4517600022265755,7.950452828515361,3.4517600022265755
mixed_freq_dfm_md,gdp_saar_third_h2,2,80.0,8.09670108877624,3.425649767827413,8.09670108877624,3.425649767827413
mixed_freq_dfm_md,gdp_saar_second_h2,2,80.0,8.097914605623544,3.434655884354258,8.097914605623544,3.434655884354258
mixed_freq_dfm_md,gdp_saar_first_h2,2,80.0,8.10536887725672,3.4716044644226045,8.10536887725672,3.4716044644226045
auto_arima,gdp_saar_third_h2,2,80.0,8.484574320594326,3.38604273087077,8.484574320594326,3.38604273087077
local_trend_ssm,gdp_saar_third_h2,2,80.0,8.507360976820939,3.552991938608278,8.507360976820939,3.552991938608278
auto_arima,gdp_saar_first_h2,2,80.0,8.509855976200628,3.4235487948218575,8.509855976200628,3.4235487948218575
auto_arima,gdp_saar_second_h2,2,80.0,8.513629216439472,3.4087550449551456,8.513629216439472,3.4087550449551456
local_trend_ssm,gdp_saar_second_h2,2,80.0,8.528623418431124,3.561585305841387,8.528623418431124,3.561585305841387
local_trend_ssm,gdp_saar_first_h2,2,80.0,8.537636574577744,3.5987053850213555,8.537636574577744,3.5987053850213555
xgboost,gdp_saar_first_h2,2,80.0,8.602155587789854,3.4751637203618886,8.602155587789854,3.4751637203618886
xgboost,gdp_saar_third_h2,2,80.0,8.650709985411222,3.419364714086987,8.650709985411222,3.419364714086987
