model_name,task_name,horizon,period,sample_count,rmse_target,mae_target,rmse_kpi_saar,mae_kpi_saar
naive_last,gdp_saar_third_h1,1,pre_covid,18.0,1.0176763924872976,0.8339606059922112,1.0176763924872976,0.8339606059922112
naive_last,gdp_saar_first_h1,1,pre_covid,17.0,1.028823589037275,0.825875394484576,1.028823589037275,0.825875394484576
xgboost,gdp_saar_third_h1,1,pre_covid,18.0,1.031302557294263,0.8443973494900597,1.031302557294263,0.8443973494900597
naive_last,gdp_saar_second_h1,1,pre_covid,18.0,1.0558865225614908,0.862871613767412,1.0558865225614908,0.862871613767412
xgboost,gdp_saar_second_h1,1,pre_covid,18.0,1.0901961047764386,0.8951067162884606,1.0901961047764386,0.8951067162884606
mixed_freq_dfm_md,gdp_saar_first_h1,1,pre_covid,17.0,1.0931437578532477,0.8697907830639844,1.0931437578532477,0.8697907830639844
xgboost,gdp_saar_first_h1,1,pre_covid,17.0,1.10597731723121,0.9238501261262333,1.10597731723121,0.9238501261262333
random_forest,gdp_saar_first_h1,1,pre_covid,17.0,1.1119400880788115,0.9078455941930708,1.1119400880788115,0.9078455941930708
random_forest,gdp_saar_third_h1,1,pre_covid,18.0,1.1119474263044744,0.9090160462221173,1.1119474263044744,0.9090160462221173
random_forest,gdp_saar_second_h1,1,pre_covid,18.0,1.1330613098559987,0.9438542723405754,1.1330613098559987,0.9438542723405754
mixed_freq_dfm_md,gdp_saar_third_h1,1,pre_covid,18.0,1.1389794348778097,0.9109845066790433,1.1389794348778097,0.9109845066790433
mixed_freq_dfm_md,gdp_saar_second_h1,1,pre_covid,18.0,1.1477571262084028,0.9289893166817096,1.1477571262084028,0.9289893166817096
factor_pca_qd,gdp_saar_third_h1,1,pre_covid,18.0,1.2178062404138918,0.922087391213997,1.2178062404138918,0.922087391213997
factor_pca_qd,gdp_saar_first_h1,1,pre_covid,17.0,1.234180487850421,0.9165006361810597,1.234180487850421,0.9165006361810597
mean,gdp_saar_first_h1,1,pre_covid,17.0,1.2361389412870138,0.9630090315970697,1.2361389412870138,0.9630090315970697
mean,gdp_saar_third_h1,1,pre_covid,18.0,1.2465667638989046,0.9784912479068346,1.2465667638989046,0.9784912479068346
factor_pca_qd,gdp_saar_second_h1,1,pre_covid,18.0,1.2471807495108547,0.9377344752413644,1.2471807495108547,0.9377344752413644
mean,gdp_saar_second_h1,1,pre_covid,18.0,1.2565379411010453,0.9929183716246597,1.2565379411010453,0.9929183716246597
mean,gdp_saar_third_h2,2,covid_2020Q1_2021Q1,10.0,20.93641232196864,15.50984036712197,20.93641232196864,15.50984036712197
mean,gdp_saar_second_h2,2,covid_2020Q1_2021Q1,10.0,20.941870225695308,15.534010328693736,20.941870225695308,15.534010328693736
mean,gdp_saar_first_h2,2,covid_2020Q1_2021Q1,10.0,20.943325584928573,15.496244759441666,20.943325584928573,15.496244759441666
random_forest,gdp_saar_third_h2,2,covid_2020Q1_2021Q1,10.0,21.777065808468354,16.663712544478216,21.777065808468354,16.663712544478216
random_forest,gdp_saar_second_h2,2,covid_2020Q1_2021Q1,10.0,21.817361074578375,16.74461826925169,21.817361074578375,16.74461826925169
random_forest,gdp_saar_first_h2,2,covid_2020Q1_2021Q1,10.0,21.82285077115647,16.653558117142808,21.82285077115647,16.653558117142808
mixed_freq_dfm_md,gdp_saar_first_h2,2,covid_2020Q1_2021Q1,10.0,22.258681105845305,16.71333076775099,22.258681105845305,16.71333076775099
mixed_freq_dfm_md,gdp_saar_third_h2,2,covid_2020Q1_2021Q1,10.0,22.262291738512154,16.7359095194774,22.262291738512154,16.7359095194774
mixed_freq_dfm_md,gdp_saar_second_h2,2,covid_2020Q1_2021Q1,10.0,22.26409898190746,16.739091216828403,22.26409898190746,16.739091216828403
local_trend_ssm,gdp_saar_third_h2,2,covid_2020Q1_2021Q1,10.0,23.00811608391039,16.766991131927213,23.00811608391039,16.766991131927213
local_trend_ssm,gdp_saar_first_h2,2,covid_2020Q1_2021Q1,10.0,23.059221476928563,16.711587885045937,23.059221476928563,16.711587885045937
local_trend_ssm,gdp_saar_second_h2,2,covid_2020Q1_2021Q1,10.0,23.064223188593985,16.798581555574145,23.064223188593985,16.798581555574145
auto_arima,gdp_saar_third_h2,2,covid_2020Q1_2021Q1,10.0,23.511136761962486,17.891297009719725,23.511136761962486,17.891297009719725
